screen_name,followers_count,statuses_count
USMNT,2147075,44370
MLS,3307242,162748
USWNT,2462985,26417
CanadaSoccerEN,152907,60107
SoundersFC,565315,70752
BeachSoccer_WW,59473,14902
NWSL,213109,30356
ussoccer_da,54095,7515
ColumbusCrewSC,183376,72903
USLChampionship,75290,74800
TheMatildas,75305,24476
NBCSportsSoccer,572454,101577
NashvilleSC,47941,23325
ChicagoFire,173441,45009
OrlandoCitySC,486711,56881
officialpes,552288,41457
GatorsSoccer,14382,7173
OfficialPSL,1115699,99508
USLLeagueTwo,24479,25904
opencup,40454,12112
Globe_Soccer,37740,12285
NDMenSoccer,10603,6835
CPLsoccer,24998,6149
FERWAFA,68261,8258
MarylandMSoccer,16336,9351
MissouriStBears,41850,23643
Chris_Ramirez17,10561,11785
LIVESounders,28003,46820
SoccerCooligans,16532,36049
socceraid,161156,10172
SoccerByIves,269848,90611
Soccer_Laduma,859972,224254
SoccerInsider,159841,49062
si_soccer,115477,79674
NPSLSoccer,23225,40101
TopDrawerSoccer,51903,87294
FOXSoccer,1373553,123878
TheAthleticSCCR,30961,5387
ussoccerfndn,26328,8993
NCAASoccer,38691,5589
SoccerAM,1065316,35855
StreetSoccerUSA,11736,9515
SoccerSix,96056,78207
StanfordWSoccer,20425,12796
TubesSoccerAM,486880,8994
VodacomSoccer,40179,16378
RTEsoccer,65606,74834
adidassoccer,297926,10772
UCLAWSoccer,19372,8680
Vol_Soccer,11655,15516
FSUSoccer,24448,14477
DirtySouthSoc,19810,32487
soccerdotcom,187955,55058
ProD_Soccer,123619,21532
UVAWomenSoccer,13983,6066
CalWSoc,10494,9967
AggieSoccer,17767,11044
AlabamaSoccer,12325,5295
UVAMenSoccer,12157,7982
PennStateWSOC,15876,14825
DukeWSOC,13848,16889
umichsoccer,10748,8470
TexasSoccer,11856,19235
umichwsoccer,10787,8134
NDSoccer,10767,7485
WakeMSoccer,11895,10339
UKMensSoccer,10394,6052
AuburnSoccer,11673,12039
MSUmsoccer,10121,16021
UofLmenssoccer,12148,11160
RazorbackSoccer,10703,8140
GamecockWSoccer,13011,16275
FCYahoo,28242,23741
uncwomenssoccer,24618,10204
IndianaMSOC,27581,24568
UNCmenssoccer,16802,11085
ClemsonMSoccer,14919,9461
SoccRepublic,32945,21586
WrldSoccerShop,21511,9931
wvuwomenssoccer,13163,14939
WVUMensSoccer,10598,11609
Flamengo,7139876,241053
ColoradoRapids,114745,48144
ManUtd,23891280,62944
naslofficial,46665,46052
EASPORTSFIFA,8011544,269935
FIFAWorldCup,7876988,23837
orangecountysc,14992,20721
TimeFlamengo,312604,25085
ManCity,8787211,135615
FCBarcelona,34749997,112449
FIFAWWC,866615,41459
NERevolution,119717,45689
LaLigaEN,751475,40929
UEFAcom,4683363,36880
CONMEBOL,1311817,35481
Socceroos,309783,41398
FootballManager,367663,64833
FecafootOfficie,317524,9690
tochigisc,26456,13337

