cluster 1,cluster 2,cluster 3 ,cluster 4,cluster 4 ,cluster 6,cluster 7,cluster 8 ,cluster 9,cluster 10
USWNT,CanadaSoccerEN,CanadaSoccerEN,UNCmenssoccer,NBCSportsSoccer,USLChampionship,CPLsoccer,MissouriStBears,USMNT,Globe_Soccer
ussoccer_da,SoundersFC,SoundersFC,TimeFlamengo,ChicagoFire,NDMenSoccer,NPSLSoccer,SoccerCooligans,NWSL,si_soccer
TheMatildas,BeachSoccer_WW,BeachSoccer_WW,CONMEBOL,OfficialPSL,LIVESounders,soccerdotcom,SoccerSix,USLLeagueTwo,TheAthleticSCCR
OrlandoCitySC,FERWAFA,,Socceroos,socceraid,UVAWomenSoccer,ProD_Soccer,adidassoccer,NCAASoccer,ussoccerfndn
officialpes,Soccer_Laduma,,,FOXSoccer,UVAMenSoccer,PennStateWSOC,ColoradoRapids,StreetSoccerUSA,TubesSoccerAM
GatorsSoccer,TopDrawerSoccer,,,AuburnSoccer,DukeWSOC,WrldSoccerShop,ManUtd,StanfordWSoccer,ManCity
opencup,AggieSoccer,,,FIFAWWC,TexasSoccer,Flamengo,EASPORTSFIFA,DirtySouthSoc,FCBarcelona
MarylandMSoccer,FCYahoo,,,,UKMensSoccer,LaLigaEN,orangecountysc,CalWSoc,NERevolution
Chris_Ramirez17,FIFAWorldCup,,,,MSUmsoccer,UEFAcom,tochigisc,umichwsoccer,
SoccerByIves,,,,,RazorbackSoccer,,,WakeMSoccer,
SoccerInsider,,,,,uncwomenssoccer,,,naslofficial,
SoccerAM,,,,,SoccRepublic,,,FootballManager,
VodacomSoccer,,,,,,,,,
RTEsoccer,,,,,,,,,
UCLAWSoccer,,,,,,,,,
Vol_Soccer,,,,,,,,,
FSUSoccer,,,,,,,,,
AlabamaSoccer,,,,,,,,,
umichsoccer,,,,,,,,,
NDSoccer,,,,,,,,,
UofLmenssoccer,,,,,,,,,
GamecockWSoccer,,,,,,,,,
IndianaMSOC,,,,,,,,,
ClemsonMSoccer,,,,,,,,,
wvuwomenssoccer,,,,,,,,,
WVUMensSoccer,,,,,,,,,
