cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8 ,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20
Globe_Soccer,CPLsoccer,FERWAFA,NWSL,SoccerCooligans,Flamengo,umichsoccer,USMNT,ChicagoFire,CONMEBOL,UVAWomenSoccer,USLChampionship,MLS,CanadaSoccerEN,ussoccer_da,NashvilleSC,OfficialPSL,,TheAthleticSCCR,BeachSoccer_WW
si_soccer,,LIVESounders,NBCSportsSoccer,ussoccerfndn,,TimeFlamengo,officialpes,NPSLSoccer,tochigisc,,OrlandoCitySC,ColumbusCrewSC,SoundersFC,GatorsSoccer,StreetSoccerUSA,NCAASoccer,,FecafootOfficie,TheMatildas
TheAthleticSCCR,,Soccer_Laduma,USLLeagueTwo,adidassoccer,,,MarylandMSoccer,TopDrawerSoccer,,,SoccerSix,,opencup,SoccerByIves,,,,,WrldSoccerShop
ussoccerfndn,,SoccerAM,Globe_Soccer,soccerdotcom,,,MissouriStBears,UNCmenssoccer,,,DirtySouthSoc,,NDMenSoccer,VodacomSoccer,,,,,
TubesSoccerAM,,RTEsoccer,socceraid,ProD_Soccer,,,SoccerInsider,,,,CalWSoc,,FOXSoccer,UCLAWSoccer,,,,,
ManCity,,FSUSoccer,si_soccer,,,,StanfordWSoccer,,,,naslofficial,,UVAMenSoccer,AlabamaSoccer,,,,,
FCBarcelona,,IndianaMSOC,TubesSoccerAM,,,,AggieSoccer,,,,orangecountysc,,FIFAWWC,TexasSoccer,,,,,
NERevolution,,ClemsonMSoccer,umichwsoccer,,,,WakeMSoccer,,,,NERevolution,,,NDSoccer,,,,,
,,WVUMensSoccer,ColoradoRapids,,,,GamecockWSoccer,,,,FootballManager,,,UKMensSoccer,,,,,
,,FIFAWorldCup,EASPORTSFIFA,,,,FCYahoo,,,,,,,MSUmsoccer,,,,,
,,,ManCity,,,,FCBarcelona,,,,,,,RazorbackSoccer,,,,,
,,,UEFAcom,,,,LaLigaEN,,,,,,,uncwomenssoccer,,,,,
,,,,,,,Socceroos,,,,,,,SoccRepublic,,,,,
