cluster 1,cluster 2,cluster 3,cluster 4,cluster 5
OrlandoCitySC,CanadaSoccerEN,USMNT,USWNT,MLS
Chris_Ramirez17,BeachSoccer_WW,ussoccer_da,SoundersFC,ColumbusCrewSC
NPSLSoccer,ussoccerfndn,TheMatildas,NWSL,TopDrawerSoccer
SoccerSix,adidassoccer,NBCSportsSoccer,USLChampionship,umichsoccer
UNCmenssoccer,WrldSoccerShop,NashvilleSC,ChicagoFire,EASPORTSFIFA
Flamengo,FecafootOfficie,opencup,officialpes,FootballManager
NERevolution,,NDMenSoccer,GatorsSoccer,
,,FERWAFA,OfficialPSL,
,,LIVESounders,USLLeagueTwo,
,,SoccerCooligans,Globe_Soccer,
,,si_soccer,CPLsoccer,
,,NCAASoccer,MarylandMSoccer,
,,SoccerAM,MissouriStBears,
,,TubesSoccerAM,socceraid,
,,RTEsoccer,SoccerByIves,
,,Vol_Soccer,Soccer_Laduma,
,,FSUSoccer,SoccerInsider,
,,DirtySouthSoc,FOXSoccer,
,,ProD_Soccer,TheAthleticSCCR,
,,CalWSoc,StreetSoccerUSA,
,,DukeWSOC,StanfordWSoccer,
,,AuburnSoccer,VodacomSoccer,
,,ClemsonMSoccer,UCLAWSoccer,
,,wvuwomenssoccer,soccerdotcom,
,,ColoradoRapids,UVAWomenSoccer,
,,ManUtd,AggieSoccer,
,,naslofficial,AlabamaSoccer,
,,TimeFlamengo,UVAMenSoccer,
,,ManCity,PennStateWSOC,
,,Socceroos,TexasSoccer,
,,tochigisc,umichwsoccer,
,,,NDSoccer,
,,,WakeMSoccer,
,,,UKMensSoccer,
,,,MSUmsoccer,
,,,UofLmenssoccer,
,,,RazorbackSoccer,
,,,GamecockWSoccer,
,,,FCYahoo,
,,,uncwomenssoccer,
,,,IndianaMSOC,
,,,SoccRepublic,
,,,WVUMensSoccer,
,,,FIFAWorldCup,
,,,orangecountysc,
,,,FCBarcelona,
,,,FIFAWWC,
,,,LaLigaEN,
,,,UEFAcom,
,,,CONMEBOL,
