Domain,tweets
washingtonpost.com,6.0
mediasuarakyat.ga,2.0
rt.com,1502.0
thetruthseeker.co.uk,33.0
independent.co.uk,447.0
veteranstoday.com,185.0
thedailysheeple.com,21.0
sott.net,207.0
ems1.com,6.0
seosem.es,1.0
bbc.co.uk,48.0
aljazeera.com,213.0
yahoo.com,177.0
washingtonsblog.com,25.0
wrongkindofgreen.org,51.0
rt.com,1502.0
buzzfeed.com,42.0
dailystar.com.lb,1.0
independent.co.uk,447.0
mintpressnews.com,1558.0
mintpressnews.com,1558.0
liveleak.com,40.0
alligatorarmy.com,17.0
kiblat.net,43.0
wrongkindofgreen.org,51.0
newslocker.com,63.0
w3livenews.com,2.0
informazione.it,2.0
tipperarylive.ie,147.0
cnn.com,756.0
netflix.com,19.0
ronpaulinstitute.org,92.0
theguardian.com,448.0
tipperarylive.ie,147.0
wrongkindofgreen.org,51.0
rt.com,1502.0
fundmycause.net,4.0
sharjah24.ae,1.0
blacklistednews.com,9.0
middleeasteye.net,346.0
cbsnews.com,40.0
telegraph.co.uk,260.0
newsweek.com,1252.0
theonlycolors.com,2.0
mirror.co.uk,3.0
irishtimes.com,68.0
kiblat.net,43.0
yahoo.com,177.0
rightrelevance.com,3.0
truepatriot.net,2.0
informationclearinghouse.info,26.0
theamericanconservative.com,120.0
podomatic.com,27.0
dailymail.co.uk,390.0
google.com,17.0
ipsnews.net,5.0
salon.com,39.0
foxnews.com,80.0
rt.com,1502.0
independent.co.uk,447.0
telesurenglish.net,52.0
lasvegasnvblog.com,3.0
yahoo.com,177.0
hnvnews.com,1.0
dailymail.co.uk,390.0
mintpressnews.com,1558.0
blacklistednews.com,9.0
hispantv.com,2.0
nbcnews.com,339.0
tipperarylive.ie,147.0
hugedomains.com,6.0
cnn.com,756.0
riskmap.com,7.0
investmentwatchblog.com,18.0
middleeasteye.net,346.0
cnn.com,756.0
metronews.ca,1.0
theguardian.com,448.0
usnews.com,11.0
npr.org,41.0
sinfiltros.com,3.0
syrianews.cc,443.0
craigmurray.org.uk,2.0
newsweek.com,1252.0
theguardian.com,448.0
jewworldorder.org,19.0
thedailysheeple.com,21.0
flickr.com,37.0
sott.net,207.0
sott.net,207.0
alternet.org,1221.0
liveleak.com,40.0
rt.com,1502.0
thetruthseeker.co.uk,33.0
nationalreview.com,2.0
dailymail.co.uk,390.0
pbs.org,56.0
newslocker.com,63.0
sekarang.ga,2.0
huffingtonpost.com,16.0
tipperarylive.ie,147.0
breitbart.com,27.0
tomcc.org,2.0
legitgov.org,4.0
therealrapgame.com,1.0
f3nws.com,4.0
state.gov,5.0
london-fire.gov.uk,9.0
makewarshistory.co.uk,6.0
espn.com,10.0
datamun.com,1.0
anews.com.tr,2.0
15minutenews.com,1.0
konga.com,1.0
upi.com,28.0
newsatw.com,1.0
collective-evolution.com,68.0
redbrickcommunications.com,2.0
syrianews.cc,443.0
telegraph.co.uk,260.0
almasdarnews.com,188.0
timesofisrael.com,35.0
intelli.news,7.0
independent.co.uk,447.0
rferl.org,43.0
rt.com,1502.0
dcclothesline.com,96.0
thetimes.co.uk,1.0
sott.net,207.0
wsj.com,56.0
sott.net,207.0
antiliberalnews.net,12.0
fow24news.com,2.0
gov.uk,31.0
apnewsarchive.com,6.0
counterpunch.org,10.0
detroitnews.com,24.0
newslocker.com,63.0
sott.net,207.0
liveleak.com,40.0
jewworldorder.org,19.0
almasdarnews.com,188.0
rt.com,1502.0
activistpost.com,215.0
iefimerida.gr,2.0
alalamtv.net,19.0
whitehelmets.org,129.0
activistpost.com,215.0
citizenworldnewsreport.com,2.0
gofundme.com,12.0
breitbart.com,27.0
news24.com,4.0
f3nws.com,4.0
channel4.com,6.0
newslocker.com,63.0
almasdarnews.com,188.0
wsj.com,56.0
theguardian.com,448.0
getrevue.co,4.0
worldinwar.eu,29.0
newslocker.com,63.0
npostart.nl,2.0
huffpostbrasil.com,1.0
washingtonpost.com,6.0
almasdarnews.com,188.0
britishmuseum.org,1.0
veteranstoday.com,185.0
topix.com,2.0
activistpost.com,215.0
newslocker.com,63.0
alternet.org,1221.0
rt.com,1502.0
newslocker.com,63.0
collective-evolution.com,68.0
theguardian.com,448.0
newslocker.com,63.0
informationclearinghouse.info,26.0
blogger.com,13.0
inewsgr.com,1.0
nytimes.com,31.0
theplaidzebra.com,1.0
bbc.co.uk,48.0
newslocker.com,63.0
rt.com,1502.0
washingtonpost.com,6.0
newslocker.com,63.0
jocoxfoundation.org,1.0
"google.com', 'bloomberg.com",2.0
albawaba.com,8.0
rt.com,1502.0
google.com,17.0
bloomberg.com,44.0
worldinwar.eu,29.0
futuredanger.com,1.0
newslocker.com,63.0
trendolizer.com,47.0
spot.im,2.0
soynadiepress.com,3.0
wrongkindofgreen.org,51.0
dailysabah.com,36.0
twitlonger.com,3.0
newslocker.com,63.0
lewrockwell.com,87.0
haaretz.com,1.0
veteranstoday.com,185.0
afternic.com,3.0
arabnews.com,15.0
elitedaily.com,2.0
breakingnews.ie,1.0
usnews.com,11.0
tribunnews.com,8.0
elethos.gr,4.0
theguardian.com,448.0
belfasttelegraph.co.uk,3.0
f3nws.com,4.0
philosophers-stone.co.uk,1.0
newslocker.com,63.0
bbc.co.uk,48.0
cnn.com,756.0
tipperarylive.ie,147.0
blazingcatfur.ca,4.0
google.com,17.0
syriacivildefence.org,23.0
buzzfeednews.com,4.0
bbc.co.uk,48.0
newslocker.com,63.0
tasnimnews.com,13.0
rocketnews.com,2.0
npr.org,41.0
perfectbrite.com,1.0
sott.net,207.0
syriacivildefence.org,23.0
aljazeera.com,213.0
independent.co.uk,447.0
konjunktion.info,6.0
thejournal.ie,99.0
mintpressnews.com,1558.0
nydailynews.com,1.0
newslocker.com,63.0
theguardian.com,448.0
governmentslaves.news,15.0
independent.ie,38.0
newslocker.com,63.0
kiblat.net,43.0
thetruthseeker.co.uk,33.0
atlanticcouncil.org,1.0
bbc.co.uk,48.0
washingtonsblog.com,25.0
gmanetwork.com,1.0
informazione.it,2.0
syrianews.cc,443.0
istioforosnews.com,2.0
atimes.com,5.0
google.com,17.0
redbubble.com,2.0
liveleak.com,40.0
tasnimnews.com,13.0
newslocker.com,63.0
panorama.it,6.0
wrongkindofgreen.org,51.0
newslocker.com,63.0
independent.co.uk,447.0
hindustantimes.com,5.0
execpay.org,1.0
ibtimes.co.uk,5.0
google.com,17.0
hannenabintuherland.com,4.0
hugedomains.com,6.0
thestar.com,3.0
jewworldorder.org,19.0
france24.com,3.0
aljazeera.com,213.0
wrongkindofgreen.org,51.0
almasdarnews.com,188.0
kiblat.net,43.0
wrongkindofgreen.org,51.0
jacobinmag.com,2.0
cnn.com,756.0
thedailysheeple.com,21.0
google.com,17.0
tipperarylive.ie,147.0
sott.net,207.0
intelli.news,7.0
abc.es,1.0
1afsym.tk,2.0
youtube.com,4.0
