,D1_D2,D1_D3,D2_D3,D_All
0,abovetopsecret.com,beforeitsnews.com,sott.net,activistpost.com
1,thedailysheeple.com,wakingtimes.com,ronpaulinstitute.org,dcclothesline.com
2,activistpost.com,worldtruth.tv,breitbart.com,globalresearch.ca
3,blacklistednews.com,21stcenturywire.com,collective-evolution.com,intellihub.com
4,dcclothesline.com,activistpost.com,dcclothesline.com,breitbart.com
5,globalresearch.ca,dcclothesline.com,activistpost.com,presstv.com
6,intellihub.com,globalresearch.ca,rubikon.news,
7,investmentwatchblog.com,infowars.com,intellihub.com,
8,thetruthseeker.co.uk,intellihub.com,presstv.com,
9,veteranstoday.com,zerohedge.com,ukcolumn.org,
10,lewrockwell.com,breitbart.com,globalresearch.ca,
11,breitbart.com,presstv.com,,
12,presstv.com,,,
13,rt.com,,,
14,cnn.com,,,
15,foxnews.com,,,
16,theguardian.com,,,
17,nbcnews.com,,,
18,nydailynews.com,,,
19,thestar.com,,,
20,upi.com,,,
21,cbsnews.com,,,
22,nytimes.com,,,
23,thedailybeast.com,,,
24,washingtonpost.com,,,
25,dailymail.co.uk,,,
26,mirror.co.uk,,,
