USER,FOLLOWERS,USERTYPE
AlanChe80864281,0.0,1.0
heenalsanghvi,0.0,1.0
Sunshin64868465,0.0,1.0
SugarRuy,0.0,1.0
Bathshe25693892,0.0,1.0
Lhuaroto1,1.0,1.0
hdo003,1.0,1.0
WesFelDAAC,1.0,1.0
EkinNefes,1.0,1.0
z_vvvv,1.0,1.0
UdochiNweke,2.0,1.0
ccweigle,2.0,1.0
sahelno,2.0,1.0
giridahran_offl,2.0,1.0
ReddyDodlapati,2.0,1.0
WSDLtest,2.0,1.0
amlhasbat,2.0,1.0
iq136boy,2.0,1.0
VamsiKr94338785,3.0,1.0
YIFEOLUWA,3.0,1.0
BabithaBokka,3.0,1.0
mridulish,3.0,1.0
KarenKvaughan,4.0,1.0
reepete20,4.0,1.0
Jie93488229,4.0,1.0
OsamaTheRuler,4.0,1.0
mekdl59,5.0,1.0
a_abdulrahman82,5.0,1.0
SirigerePrakash,5.0,1.0
fileformat,5.0,1.0
involutish,5.0,1.0
AntonJRasmussen,6.0,1.0
karensnet,6.0,1.0
niphadkar_neha,6.0,1.0
WaelKholakyy,6.0,1.0
raweigle1,6.0,1.0
P_S_Scheuermann,7.0,1.0
AliShamim333,9.0,1.0
Mohamma47262302,9.0,1.0
TevinDennis3,9.0,1.0
bigstotle,9.0,1.0
tphasty,9.0,1.0
ArchitectDy,10.0,1.0
FrankMo54284670,10.0,1.0
KhaledAusMainz,10.0,1.0
graphhoc,10.0,1.0
modiapurva03,10.0,1.0
momof3inov,10.0,1.0
Just_Whit757,10.0,1.0
Jonahdickson6,10.0,1.0
KottakkalAnju,10.0,1.0
KristenWaltersL,10.0,1.0
manoj_chandra_k,10.0,1.0
IvanM08106184,11.0,1.0
obfern,12.0,1.0
DamienD78,12.0,1.0
mstev0du,12.0,1.0
mamaj1953,13.0,1.0
Vendett26972328,13.0,1.0
NgYewli,13.0,1.0
Chisellaw,14.0,1.0
jayaikat,14.0,1.0
harveenkaur121,14.0,1.0
Puya_Ghazizadeh,15.0,1.0
hokie4kids,15.0,1.0
brehallie2,15.0,1.0
IRI_2019,16.0,1.0
larryalex5555,17.0,1.0
doviethung,17.0,1.0
EvanS17824304,18.0,1.0
Raj78888100,18.0,1.0
Morteza46307480,19.0,1.0
QueenRoyca,19.0,1.0
TareqSaeed20,19.0,1.0
udithprabhu,19.0,1.0
LalitaSharkey,19.0,1.0
Thaer_samar,19.0,1.0
debberli,19.0,1.0
AMRALZOGBY,21.0,1.0
iesakiotis,22.0,1.0
PramodShehan5,23.0,1.0
AirccfpIjans,23.0,1.0
abettlam,24.0,1.0
PuneethBikks,24.0,1.0
NiphadkarNeha,25.0,1.0
ijngnjournal2,25.0,1.0
ClaytonMccallum,26.0,1.0
MahsaSharifi11,26.0,1.0
liang_xiaoqin,26.0,1.0
LarryWilson1942,27.0,1.0
DrMarkwilliam2,27.0,1.0
Codify_Designs,27.0,1.0
kkt_tweet,28.0,1.0
AprilinNC,28.0,1.0
dodlapati_reddy,29.0,1.0
kaylamarie0110,29.0,1.0
Xin46678113,30.0,1.0
SirJamesBurns,32.0,1.0
abigail_mabe,32.0,1.0
TamerRagaee,33.0,1.0
joseph_deanna,33.0,1.0
Rayan12586930,34.0,1.0
msmelaniemills,34.0,1.0
SundryTomatoes,35.0,1.0
Mittrach_garten,35.0,1.0
dkfzhf111,37.0,1.0
LMForensics,37.0,1.0
dhruv_282,37.0,1.0
SusanZ007,38.0,1.0
pates_richard,39.0,1.0
bobbymclark,40.0,1.0
itzMASheikh,41.0,1.0
ebel_nwafor,41.0,1.0
Sergio70460461,42.0,1.0
sheissheba,43.0,1.0
kcare704,43.0,1.0
Emojiche,45.0,1.0
itii_journal,46.0,1.0
kumarshb,46.0,1.0
ijicsjournal,46.0,1.0
Manoj_Chandra11,47.0,1.0
CAredwoodGrl,48.0,1.0
joc7188,50.0,1.0
PlinioHVargas,50.0,1.0
real_currents,50.0,1.0
NirdsLab,53.0,1.0
chaiTnCode,54.0,1.0
claudiodgl,55.0,1.0
tamernadeem,55.0,1.0
thejborbs,57.0,1.0
Faryane,57.0,1.0
22bolter,60.0,1.0
CorrenMcCoy,61.0,1.0
maheedhargunnam,63.0,1.0
mattbryant01,63.0,1.0
mahfuzulhoq,64.0,1.0
VikasGAshok1,64.0,1.0
valeriepotter31,68.0,1.0
ehetzner,70.0,1.0
ODUCFD,71.0,1.0
Nej1E,72.0,1.0
LulwahMA,72.0,1.0
cbrittpeterson,73.0,1.0
TReid803,73.0,1.0
WndringAramean,73.0,1.0
jrich85,74.0,1.0
webarchiv_cz,74.0,1.0
douglasbechara,75.0,1.0
Mayukh84159000,76.0,1.0
IKaeRI,77.0,1.0
haoscs,79.0,1.0
Hussam_A_Hallak,79.0,1.0
emilyfruge1974,82.0,1.0
kalpeshpadia,83.0,1.0
lemoine_al,83.0,1.0
sheershasamach1,87.0,1.0
mir_smi,88.0,1.0
Tunaz_Islam,92.0,1.0
scottabbey,92.0,1.0
vneblitt,93.0,1.0
mahanama94,94.0,1.0
TasinChoudhury,95.0,1.0
Muhamme12244724,98.0,1.0
normeu,98.0,1.0
shubyzen,98.0,1.0
yanjiefoo,99.0,1.0
grantcatkins,99.0,1.0
CamtheWicked,99.0,1.0
m_nsiddique,100.0,1.0
soakedinyellow,101.0,1.0
DKE_Group_Gipp,101.0,1.0
KbeKwasi,101.0,1.0
jaf_ferdous,102.0,1.0
CandyHatcher,105.0,1.0
AAlasaadi,106.0,1.0
JessicaPranger,108.0,1.0
HimarshaJ,108.0,1.0
HouseofMadclass,109.0,1.0
WessamElhefnawy,110.0,1.0
ricardobasilio_,111.0,1.0
moffattchristie,114.0,1.0
Gavindya2,115.0,1.0
chandakaniket,115.0,1.0
DukeCarlos5,116.0,1.0
pfoytik,116.0,1.0
getasijimyni,117.0,1.0
kingswebit,117.0,1.0
okzach,118.0,1.0
jcdl2016,128.0,1.0
Mementoweb,129.0,1.0
fanchyna,131.0,1.0
kritika_garg,131.0,1.0
jcdl2018,134.0,1.0
Sageprofessor,135.0,1.0
metamerlabs,136.0,1.0
babbiep,146.0,1.0
liczumacamigo5,148.0,1.0
aparupkhatua,149.0,1.0
ScottGAinsworth,152.0,1.0
brcrau,154.0,1.0
BreitingerC,157.0,1.0
AlexGar89904842,160.0,1.0
millennial_gis,171.0,1.0
maturban1,172.0,1.0
pavlos098,175.0,1.0
beingbiko,177.0,1.0
hanysalaheldeen,184.0,1.0
ijdl,185.0,1.0
OpenMaze,186.0,1.0
